term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	1	1/93	0.010752688172043012	93	0.0499891704318726	0.0626077959777822	TPR
Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)	Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090100)	1	1/95	0.010526315789473684	95	0.0510387981390416	0.0633077399993882	NUMA1
Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)	1	1/96	0.010416666666666666	96	0.0515632165556114	0.0633490946254655	NUMA1
Regulation Of Protein Localization (GO:0032880)	Regulation Of Protein Localization (GO:0032880)	1	1/97	0.010309278350515464	97	0.0520873715006026	0.063389348335639	TPR
Phosphatidylinositol Biosynthetic Process (GO:0006661)	Phosphatidylinositol Biosynthetic Process (GO:0006661)	1	1/98	0.01020408163265306	98	0.0526112631068001	0.0634285321567964	PI4KA
Negative Regulation Of Translation (GO:0017148)	Negative Regulation Of Translation (GO:0017148)	1	1/107	0.009345794392523364	107	0.0573144565428046	0.0684477801561634	TPR
Glycerophospholipid Biosynthetic Process (GO:0046474)	Glycerophospholipid Biosynthetic Process (GO:0046474)	1	1/108	0.009259259259259259	108	0.0578357212172233	0.0684477801561634	PI4KA
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	2	2/763	0.002621231979030144	763	0.0636337514079039	0.0746250357419963	TPR;IRF2BP2
Regulation Of Protein Catabolic Process (GO:0042176)	Regulation Of Protein Catabolic Process (GO:0042176)	1	1/122	0.00819672131147541	122	0.0651059661884504	0.0749151091544744	TMF1
Protein Localization To Nucleus (GO:0034504)	Protein Localization To Nucleus (GO:0034504)	1	1/122	0.00819672131147541	122	0.0651059661884504	0.0749151091544744	TPR
Modulation Of Chemical Synaptic Transmission (GO:0050804)	Modulation Of Chemical Synaptic Transmission (GO:0050804)	1	1/123	0.008130081300813009	123	0.0656233126701985	0.0749151091544744	DLGAP4
Positive Regulation Of Intracellular Protein Transport (GO:0090316)	Positive Regulation Of Intracellular Protein Transport (GO:0090316)	1	1/126	0.007936507936507936	126	0.0671737909736009	0.0753514698747349	TPR
Protein-Containing Complex Organization (GO:0043933)	Protein-Containing Complex Organization (GO:0043933)	1	1/126	0.007936507936507936	126	0.0671737909736009	0.0753514698747349	TPR
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	3	3/2028	0.0014792899408284023	2028	0.0925143205287525	0.1028823047259403	TMF1;TPR;IRF2BP2
Phosphate-Containing Compound Metabolic Process (GO:0006796)	Phosphate-Containing Compound Metabolic Process (GO:0006796)	1	1/184	0.005434782608695652	184	0.0966937086469272	0.1066110120978941	PI4KA
Negative Regulation Of DNA-templated Transcription (GO:0045892)	Negative Regulation Of DNA-templated Transcription (GO:0045892)	2	2/1025	0.001951219512195122	1025	0.1062124957607705	0.1161136606198253	TPR;IRF2BP2
Positive Regulation Of Developmental Process (GO:0051094)	Positive Regulation Of Developmental Process (GO:0051094)	1	1/233	0.004291845493562232	233	0.1209683341274381	0.1311337403566346	NUMA1
Gene Expression (GO:0010467)	Gene Expression (GO:0010467)	1	1/296	0.0033783783783783786	296	0.1513068837331026	0.1626549000130853	TPR
Cellular Response To Cytokine Stimulus (GO:0071345)	Cellular Response To Cytokine Stimulus (GO:0071345)	1	1/308	0.003246753246753247	308	0.1569765493380373	0.1673551641703042	TPR
Intracellular Protein Transport (GO:0006886)	Intracellular Protein Transport (GO:0006886)	1	1/325	0.003076923076923077	325	0.1649496426027098	0.174413966358603	TPR
Positive Regulation Of Multicellular Organismal Process (GO:0051240)	Positive Regulation Of Multicellular Organismal Process (GO:0051240)	1	1/387	0.002583979328165375	387	0.193450533801793	0.2028871452067586	NUMA1
Organelle Organization (GO:0006996)	Organelle Organization (GO:0006996)	1	1/418	0.0023923444976076554	418	0.2073667498861664	0.2157283123815764	NUMA1
Phosphorylation (GO:0016310)	Phosphorylation (GO:0016310)	1	1/429	0.002331002331002331	429	0.2122520490864254	0.219044114657191	PI4KA
Positive Regulation Of Cellular Process (GO:0048522)	Positive Regulation Of Cellular Process (GO:0048522)	1	1/594	0.0016835016835016834	594	0.2823212812803272	0.2890432165489064	NUMA1
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	1	1/938	0.0010660980810234541	938	0.4105258008194894	0.4169907740607412	TMF1
Positive Regulation Of DNA-templated Transcription (GO:0045893)	Positive Regulation Of DNA-templated Transcription (GO:0045893)	1	1/1243	0.0008045052292839903	1243	0.5063847003749357	0.5103408308466149	TMF1
Regulation Of DNA-templated Transcription (GO:0006355)	Regulation Of DNA-templated Transcription (GO:0006355)	1	1/1922	0.0005202913631633715	1922	0.6709981808255874	0.6709981808255874	IRF2BP2
